frequency_Hz,S11_real,S11_imag,S12_real,S12_imag,S21_real,S21_imag,S22_real,S22_imag
1000000.0,-2.566097277943548e-08,-0.00015707963468869626,0.9999999743390273,-0.00015707963468869626,0.9999999743390273,-0.00015707963468869626,-2.566097277943548e-08,-0.00015707963468869626
1009252.8860766834,-2.613804592924674e-08,-0.00015853307469113734,0.999999973861954,-0.00015853307469113734,0.999999973861954,-0.00015853307469113734,-2.613804592924674e-08,-0.00015853307469113734
1018591.388054117,-2.6623988514863832e-08,-0.00015999996320939687,0.9999999733760114,-0.0001599999632093969,0.9999999733760114,-0.0001599999632093969,-2.6623988459352684e-08,-0.0001599999632093969
1028016.2981264725,-2.7118965417893983e-08,-0.0001614804246810886,0.9999999728810346,-0.00016148042468108856,0.9999999728810346,-0.00016148042468108856,-2.7118965473405134e-08,-0.00016148042468108856
1037528.4158180127,-2.7623144634206143e-08,-0.0001629745846952352,0.9999999723768552,-0.00016297458469523518,0.9999999723768552,-0.00016297458469523518,-2.7623144689717295e-08,-0.0001629745846952352
1047128.5480508985,-2.8136697273221477e-08,-0.0001644825700029203,0.9999999718633029,-0.00016448257000292033,0.9999999718633029,-0.00016448257000292033,-2.8136697273221477e-08,-0.0001644825700029203
1056817.5092136585,-2.8659797558224135e-08,-0.00016600450852804262,0.9999999713402022,-0.0001660045085280426,0.9999999713402022,-0.0001660045085280426,-2.8659797558224135e-08,-0.00016600450852804262
1066596.1212302567,-2.9192623049753125e-08,-0.00016754052937816602,0.999999970807377,-0.00016754052937816604,0.999999970807377,-0.00016754052937816604,-2.9192622994241977e-08,-0.00016754052937816604
1076465.213629835,-2.973535442596338e-08,-0.000169090762855474,0.9999999702646456,-0.00016909076285547402,0.9999999702646456,-0.00016909076285547402,-2.973535442596338e-08,-0.000169090762855474
1086425.6236170644,-3.028817598570706e-08,-0.000170655340467821,0.999999969711824,-0.00017065534046782098,0.999999969711824,-0.00017065534046782098,-3.0288176041218214e-08,-0.00017065534046782098
1096478.196143185,-3.08512752645349e-08,-0.000172234394939891,0.9999999691487248,-0.000172234394939891,0.9999999691487248,-0.000172234394939891,-3.085127520902376e-08,-0.000172234394939891
